"dest" "file" "sensor" "processing_level" "path_row" "scene_date" "year" "julian_day"
"22" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20140819_20170420_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20140819_20170420_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16301" "2014" "231"
"23" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20140904_20170420_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20140904_20170420_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16317" "2014" "247"
"24" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20141006_20170418_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20141006_20170418_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16349" "2014" "279"
"25" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20141022_20170418_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20141022_20170418_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16365" "2014" "295"
"26" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20141107_20170417_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20141107_20170417_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16381" "2014" "311"
"27" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20141225_20170416_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20141225_20170416_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16429" "2014" "359"
"28" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150110_20170415_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150110_20170415_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16445" "2015" "10"
"29" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150227_20180528_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150227_20180528_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16493" "2015" "58"
"30" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150331_20170411_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150331_20170411_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16525" "2015" "90"
"31" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150416_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150416_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16541" "2015" "106"
"32" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150502_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150502_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16557" "2015" "122"
"33" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150518_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150518_20170409_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16573" "2015" "138"
"34" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150603_20170408_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150603_20170408_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16589" "2015" "154"
"35" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150721_20170406_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150721_20170406_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16637" "2015" "202"
"36" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150806_20170406_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150806_20170406_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16653" "2015" "218"
"37" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150822_20170405_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150822_20170405_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16669" "2015" "234"
"38" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20150923_20170403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20150923_20170403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16701" "2015" "266"
"39" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20151009_20170403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20151009_20170403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16717" "2015" "282"
"40" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20151025_20170402_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20151025_20170402_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16733" "2015" "298"
"41" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20151110_20170402_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20151110_20170402_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16749" "2015" "314"
"42" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20151212_20170401_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20151212_20170401_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16781" "2015" "346"
"43" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160214_20170330_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160214_20170330_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16845" "2016" "45"
"44" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160317_20170328_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160317_20170328_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16877" "2016" "77"
"45" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160402_20170327_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160402_20170327_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16893" "2016" "93"
"46" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160418_20170326_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160418_20170326_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16909" "2016" "109"
"47" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160504_20170325_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160504_20170325_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16925" "2016" "125"
"48" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160520_20170324_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160520_20170324_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16941" "2016" "141"
"49" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160621_20170323_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160621_20170323_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16973" "2016" "173"
"50" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160707_20170323_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160707_20170323_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "16989" "2016" "189"
"51" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160723_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160723_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17005" "2016" "205"
"52" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160808_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160808_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17021" "2016" "221"
"53" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160824_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160824_20170322_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17037" "2016" "237"
"54" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20160909_20170321_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20160909_20170321_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17053" "2016" "253"
"55" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20161011_20170319_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20161011_20170319_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17085" "2016" "285"
"56" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20161128_20170317_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20161128_20170317_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17133" "2016" "333"
"57" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20161230_20170314_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20161230_20170314_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17165" "2016" "365"
"58" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170115_20170311_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170115_20170311_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17181" "2017" "15"
"59" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170216_20170228_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170216_20170228_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17213" "2017" "47"
"60" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170304_20170316_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170304_20170316_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17229" "2017" "63"
"61" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170320_20170328_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170320_20170328_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17245" "2017" "79"
"62" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170405_20170414_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170405_20170414_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17261" "2017" "95"
"63" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170507_20170515_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170507_20170515_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17293" "2017" "127"
"64" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170523_20170526_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170523_20170526_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17309" "2017" "143"
"65" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170608_20170616_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170608_20170616_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17325" "2017" "159"
"66" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170624_20170713_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170624_20170713_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17341" "2017" "175"
"67" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170710_20170725_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170710_20170725_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17357" "2017" "191"
"68" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170726_20170810_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170726_20170810_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17373" "2017" "207"
"69" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170811_20170824_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170811_20170824_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17389" "2017" "223"
"70" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170827_20170914_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170827_20170914_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17405" "2017" "239"
"71" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170912_20170928_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170912_20170928_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17421" "2017" "255"
"72" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20170928_20171013_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20170928_20171013_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17437" "2017" "271"
"73" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20171014_20171024_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20171014_20171024_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17453" "2017" "287"
"74" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20171115_20171122_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20171115_20171122_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17485" "2017" "319"
"75" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20171217_20171224_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20171217_20171224_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17517" "2017" "351"
"76" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180118_20180206_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180118_20180206_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17549" "2018" "18"
"77" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180203_20180220_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180203_20180220_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17565" "2018" "34"
"78" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180219_20180308_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180219_20180308_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17581" "2018" "50"
"79" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180307_20180320_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180307_20180320_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17597" "2018" "66"
"80" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180323_20180403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180323_20180403_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17613" "2018" "82"
"81" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180408_20180417_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180408_20180417_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17629" "2018" "98"
"82" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180424_20180502_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180424_20180502_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17645" "2018" "114"
"83" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180510_20180517_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180510_20180517_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17661" "2018" "130"
"84" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180526_20180605_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180526_20180605_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17677" "2018" "146"
"85" "./qa_S30MB1HA_JD/LC08_L1TP_219076_20180627_20180704_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08_L1TP_219076_20180627_20180704_01_T1_LAFirAv1_qa_S30MB1HA_JD16.tif" "LC08" "L1TP" "219076" "17709" "2018" "178"
