"dest" "file" "sensor" "processing_level" "path_row" "scene_date" "year" "julian_day"
"23" "./qa_S30MB1HA/LC08_L1TP_219076_20130629_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20130629_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15885" "2013" "180"
"24" "./qa_S30MB1HA/LC08_L1TP_219076_20130715_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20130715_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15901" "2013" "196"
"25" "./qa_S30MB1HA/LC08_L1TP_219076_20130731_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20130731_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15917" "2013" "212"
"26" "./qa_S30MB1HA/LC08_L1TP_219076_20130816_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20130816_20170503_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15933" "2013" "228"
"27" "./qa_S30MB1HA/LC08_L1TP_219076_20130901_20170502_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20130901_20170502_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15949" "2013" "244"
"28" "./qa_S30MB1HA/LC08_L1TP_219076_20131019_20170429_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20131019_20170429_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "15997" "2013" "292"
"29" "./qa_S30MB1HA/LC08_L1TP_219076_20131120_20170428_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20131120_20170428_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "16029" "2013" "324"
"30" "./qa_S30MB1HA/LC08_L1TP_219076_20131206_20170428_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20131206_20170428_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "16045" "2013" "340"
"31" "./qa_S30MB1HA/LC08_L1TP_219076_20131222_20170427_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20131222_20170427_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "16061" "2013" "356"
"32" "./qa_S30MB1HA/LC08_L1TP_219076_20140107_20180528_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1TP_219076_20140107_20180528_01_T1_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1TP" "219076" "16077" "2014" "7"
